Planet Transit Midpoint Value,Planet Transit Midpoint Upper Unc,Planet Transit Midpoint Lower Unc,Planet Transit Midpoint Limit Flag,Planet Orbital Period Value,Planet Orbital Period Upper Unc,Planet Orbital Period Lower Unc,Planet Orbital Period Limit Flag,Planet Transit Duration Value,Planet Transit Duration Upper Unc,Planet Transit Duration Lower Unc,Planet Transit Duration Limit Flag,Planet Transit Depth Value,Planet Transit Depth Upper Unc,Planet Transit Depth Lower Unc,Planet Transit Depth Limit Flag,Planet Radius Value,Planet Radius Value Upper Unc,Planet Radius Value Lower Unc,Planet Radius Limit Flag,Planet Insolation Value,Planet Equilibrium Temperature Value,TESS Magnitude,TESS Magnitude Upper Unc,TESS Magnitude Lower Unc,TESS Magnitude Limit Flag,Stellar Distance,Stellar Distance Upper Unc,Stellar Distance Lower Unc,Stellar Distance Limit Flag,Stellar Effective Temperature Value,Stellar Effective Termperature Upper Unc,Stellar Effective Termperature Lower Unc,Stellar Effective Temperature Limit Flag,Stellar log(g) Value,Stellar log(g) Upper Unc,Stellar log(g) Lower Unc,Stellar log(g) Limit Flag,Stellar Radius Value,Stellar Radius Upper Unc,Stellar Radius Lower Unc,Stellar Radius Limit Flag,Label
2459211.732146,0.002195,-0.002195,0,12.8379689,0.0031236000000000002,-0.0031236000000000002,0,9.8464123,0.1878411,-0.1878411,0,10539.0192794,361.00934,-361.00934,0,25.488638199999997,1.376776,-1.376776,0,374.129,1225.0,11.7106,0.006,-0.006,0,703.878,10.696,-10.696,0,5765.0,189.0,-189.0,0,4.34773,2.00358,-2.00358,0,2.4494,0.11699000000000001,-0.11699000000000001,0,0
2458662.650964,0.0031940000000000002,-0.0031940000000000002,0,13.942759699999998,0.0001674,-0.0001674,0,3.7732511,0.3662606,-0.3662606,0,1351.4876372,110.07788000000001,-110.07788000000001,0,2.8501548,0.6062083,-0.6062083,0,28.093,587.18,10.6339,0.006,-0.006,0,107.356,0.408,-0.408,0,5206.0,183.0,-183.0,0,4.63095,0.280579,-0.280579,0,0.741671,0.0479724,-0.0479724,0,0
2458654.250006,0.0007480000000000001,-0.0007480000000000001,0,0.6047427,7.1e-06,-7.1e-06,0,0.9882209999999999,0.2762418,-0.2762418,0,912.4406978000001,75.47995999999999,-75.47995999999999,0,1.8764453999999997,0.9520114,-0.9520114,0,528.02,1222.6,11.1186,0.006999999999999999,-0.006999999999999999,0,61.4592,0.09435,-0.09435,0,4046.0,170.0,-170.0,0,4.60963,0.23067800000000002,-0.23067800000000002,0,0.653189,0.06464500000000001,-0.06464500000000001,0,0
2459362.467634,0.000795,-0.000795,0,1.6062802999999999,3.8e-06,-3.8e-06,0,1.9759220000000002,0.06602960000000001,-0.06602960000000001,0,16266.0953785,337.5251,-337.5251,0,12.5747284,0.44386859999999995,-0.44386859999999995,0,844.26,1374.8,13.461,0.006,-0.006,0,463.683,3.3225,-3.3225,0,5192.0,182.0,-182.0,0,4.4617,2.00368,-2.00368,0,0.9141090000000001,0.9141090000000001,-0.9141090000000001,0,0
2458654.105455,0.000388,-0.000388,0,0.5182385,4.6e-06,-4.6e-06,0,0.7499958999999999,0.17882879999999998,-0.17882879999999998,0,797.2618567000001,47.291542,-47.291542,0,1.1403833,0.7100715999999999,-0.7100715999999999,0,255.1432066,1019.3322197999998,10.1165,0.006999999999999999,-0.006999999999999999,0,20.373,0.0192,-0.0192,0,3325.0,102.0,-102.0,0,4.88693,0.098941,-0.098941,0,0.390989,0.0117402,-0.0117402,0,1
2459165.538013,0.004659,-0.004659,0,16.3469682,0.0002596,-0.0002596,0,3.8028602,0.3697074,-0.3697074,0,2123.4301702999996,198.33418,-198.33418,0,3.6520826,0.44105320000000003,-0.44105320000000003,0,8.9995482,441.74834000000004,11.8835,0.006,-0.006,0,100.248,0.25385,-0.25385,0,4310.0,173.0,-173.0,0,4.57345,0.23051100000000002,-0.23051100000000002,0,0.649613,0.0616131,-0.0616131,0,0
2458655.292533,0.001147,-0.001147,0,3.7178739000000003,1.89e-05,-1.89e-05,0,5.4901064,0.14652279999999998,-0.14652279999999998,0,4872.873933,108.95631399999999,-108.95631399999999,0,14.7464854,0.9240646,-0.9240646,0,1925.1,1689.4,12.2303,0.006,-0.006,0,736.397,11.06,-11.06,0,5818.0,190.0,-190.0,0,4.33787,2.00353,-2.00353,0,2.0840001,0.10613099999999999,-0.10613099999999999,0,0
2458630.7719400004,0.0028,-0.0028,0,9.30992,0.00209,-0.00209,0,3.464,0.232,-0.232,0,2220.0,1.39456,-1.39456,0,14.2968,0.777875,-0.777875,0,215.208,1067.0,9.4142,0.006,-0.006,0,416.25,5.019,-5.019,0,6907.0,135.5,-135.5,0,3.63,0.09,-0.09,0,3.09,0.14,-0.14,0,0
2458626.38955,0.0022199999999999998,-0.0022199999999999998,0,1.15395,0.00016999999999999999,-0.00016999999999999999,0,2.236,0.103,-0.103,0,1550.0,1.67219,-1.67219,0,5.48364,0.324737,-0.324737,0,3534.3,2148.0,10.4613,0.006,-0.006,0,240.901,1.98,-1.98,0,6093.0,131.0,-131.0,0,4.2,0.08,-0.08,0,1.4,0.07,-0.07,0,0
2458643.10264,0.00488,-0.00488,0,4.73703,0.004529999999999999,-0.004529999999999999,0,3.902,0.481,-0.481,0,2410.0,1380.87,-1380.87,0,25.7144,10.2479,-10.2479,0,53821.0,4243.0,10.3918,0.01,-0.01,0,778.127,35.06,-35.06,0,11600.0,368.2,-368.2,0,4.13,0.07,-0.07,0,2.48,0.13,-0.13,0,0
2458628.96316,0.0022,-0.0022,0,2.19296,0.0003,-0.0003,0,4.586,0.079,-0.079,0,4933.74,704.212,-704.212,0,22.7769,8.69015,-8.69015,0,31883.5,3722.0,10.0196,0.006,-0.006,0,566.502,11.2155,-11.2155,0,7009.8,184.2,-184.2,0,3.6,0.61,-0.61,0,2.95,0.16,-0.16,0,0
